Sys,Sys,Sys,Sys,Sys,UserDefCon,UserDefVar,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,Leak,Leak,Leak,Leak,Leak,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,LeafQ,LeafQ,LeafQ,LeafQ,Const,Const,Const,Const,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrStats,FlrStats,FlrStats,FlrStats,FlrStats,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
obs,time,elapsed,date,hhmmss,plant id,WUE,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,,,s,mol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,Pa,Pa,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,W m⁻²,°C,°C,kPa,%,kPa,kPa,kPa,W m⁻²,W m⁻²,W m⁻²,W m⁻²,µmol s⁻¹,%,,%,µmol s⁻¹,,,,,,,µmol m⁻² s⁻¹,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,µmol µmol⁻¹,,,,,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,J/µmol,cm²,,,mol m⁻² s⁻¹,s,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol s⁻¹,kPa,kPa,°C,°C,°C,°C,°C,rpm,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,,,,µmol m⁻² s⁻¹,,,°C,°C,°C,°C,°C,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,s,,,min⁻¹,min⁻¹,,s,secs,,s,s,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,µmol mol⁻¹,µmol mol⁻¹ min⁻¹,µmol mol⁻¹,,mmol mol⁻¹,mmol mol⁻¹ min⁻¹,mmol mol⁻¹,,,,,%,%,µmol/mol,mmol/mol,mmol/mol,,,,mmol/mol,,,,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,min,min,,µmol s⁻¹,µmol s⁻¹,°C,°C,°C,°C,°C,%,%,%,°C,µmol mol⁻¹,mmol mol⁻¹,%,%
1,1684775997,0,20230522 10:19:56,10:19:56,g1.daupus.2,24.26617894,1684775989,0.002180957,2.874639205,396.0863871,345.3894091,34.91613274,40.04119554,0.118462788,2.945329564,0.115878068,0.072651322,321.4427114,30.33657437,30.01833548,4.264938832,60.24452944,2.425229581,4.025642832,1.839709251,-96.18018834,-159.060597,-11.95067752,54.25124854,0,0,1,0,52999.74557,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-2278-20230522-10_30_12,10249.4,2.090807692,1.434,-0.45802489,0.5,1681.185639,2.874639205,-385.0124336,1,0.002304706,1918.74198,-,0,1.434,-0.45802489,0.999479097,0.000809373,1.418305606,0,1,1999.982903,1681.185639,0.840600005,0.19120001,6,0.5,0: Broadleaf,2,1684775989,396.0863871,399.8240645,23.99030323,21.86212903,405.3807419,24.60337097,600.129871,100.9825806,0.109496355,29.01662258,30.01833548,999.9,0,0,9992.050323,0,412.0213226,1999.982903,0.979999,0.020001,0,2.071354839,0,3134.451935,16305.90968,48.177,50.22358065,48.887,48.29,47.31606452,1959.982903,40,0,1684776611,0,2.090807692,0.825203422,-189.6680342,3133.303462,15,1684775973,10:19:33,1684775973,1684775973,1,-0.768,-0.098,-9.322,-0.69,399,22,0.73,0.04,-3.47910725,-4.158882664,0.603401552,0,2.0237004,2.057771662,0.280724386,0,0,2,0/2,100,100,-9.296,-0.6121,-6.117431418,-0.007814304,-3.18E-07,6.48E-10,-0.73296121,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.4,0.4,2,623.819,414.324,24.9987,34.1164,30.0009,33.9225,33.8938,21.1253,33.538,97.7089,25,400,21.6212,99.5914,101.477
2,1684776032,35.5,20230522 10:20:32,10:20:32,g1.daupus.2,22.20848693,1684776024,0.00229563,2.75035221,396.2349,348.7239915,35.2544937,40.05764194,0.123842395,2.94584081,0.121021082,0.075886307,321.4487384,30.33773504,30.04821333,4.27226263,59.9585171,2.418047568,4.032867532,1.854215061,-101.2373031,-158.9109301,-11.94096385,49.35954139,0,0,1,0,53009.15482,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-2279-20230522-10_30_47,10248.6,2.06252,1.456,-0.416565934,0.5,1681.21736,2.75035221,-350.16894,1,0.002230736,1889.73489,-,0,1.456,-0.416565934,0.999471105,0.000747424,1.418294266,0,1,2000.020667,1681.21736,0.840599994,0.191199988,6,0.5,0: Broadleaf,2,1684776024,396.2349,399.8941,23.91840333,21.67814667,405.5305,24.53393,600.1248,100.9859667,0.109726667,29.04761667,30.04821333,999.9,0,0,9994.619333,0,354.7424,2000.020667,0.9800011,0.01999883,0,2.047913333,0,3047.734667,16306.23667,48.312,50.29546667,48.9874,48.375,47.4412,1960.020667,40,0,34.79999995,0,2.06252,0.112207697,-94.14461551,3046.4504,15,1684775973,10:19:33,1684775973,1684775973,1,-0.768,-0.098,-9.322,-0.69,399,22,0.73,0.04,-3.65557125,0.079310432,0.043525703,1,2.251146,-0.259372683,0.02562454,0,1,2,2-Jan,100,100,-9.296,-0.6153,-6.117431418,-0.007814304,-3.18E-07,6.48E-10,-0.73296121,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1,1,2,624.81,413.296,25.0039,34.1865,30.0012,34.0052,33.9847,21.1536,33.5906,96.5656,25,400,21.8084,99.5789,101.461
3,1684776067,70.5,20230522 10:21:07,10:21:07,g1.daupus.2,23.77278572,1684776059,0.002260531,2.920726919,396.1207,346.1883814,34.9995427,40.04768529,0.122860104,2.946898294,0.120083801,0.07529659,321.4447437,30.33963553,30.02352333,4.266209716,60.17998617,2.426036337,4.031300922,1.840173379,-99.68942371,-156.1124945,-11.72464592,53.91817956,0,0,1,0,53040.98209,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-2280-20230522-10_31_22,10248,2.074284615,1.7712,-0.171118234,0.5,1681.19837,2.920726919,-143.8418477,1,0.002332102,1553.262647,-,0,1.7712,-0.171118234,0.999356608,0.000373641,1.418131789,0,1,1999.998333,1681.19837,0.840599886,0.191199771,6,0.5,0: Broadleaf,2,1684776059,396.1207,399.936,23.99647333,21.79069,405.4153333,24.60933667,600.1368333,100.9897,0.110003433,29.0409,30.02352333,999.9,0,0,10000.25833,0,341.7130333,1999.998333,0.9800025,0.0199974,0,2.06852,0,3001.485,16306.05333,48.479,50.42046667,49.083,48.4622,47.562,1960.005667,39.99233333,0,34.20000005,0,2.074284615,0.427876924,-59.82529917,3001.136538,15,1684775973,10:19:33,1684775973,1684775973,1,-0.768,-0.098,-9.322,-0.69,399,22,0.73,0.04,-3.77420775,-0.830745253,0.097469368,0,2.2107965,-0.061463865,0.012864123,1,1,2,2-Jan,100,100,-9.295,-0.6124,-6.117431418,-0.007814304,-3.18E-07,6.48E-10,-0.73296121,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.6,1.6,2,624.969,411.966,25.001,34.2792,30.0018,34.1092,34.0943,21.1817,33.3126,95.4347,25,400,21.7821,99.5569,101.439
4,1684776303,306.5,20230522 10:25:03,10:25:03,b7.daupus.2,13.06417017,1684776295,0.001337887,0.933360592,398.4549032,365.7311958,36.97940147,40.28812418,0.071444308,2.947032451,0.070495866,0.044144081,321.4409094,30.59263617,30.00967419,4.262817783,59.66172122,2.407204348,4.034755114,1.855613435,-59.00082459,-151.5667893,-11.38278017,99.49051537,0,0,1,0,53042.42072,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-2281-20230522-10_35_18,10239.5,2.05734,1.532,-0.342911227,0.5,1681.176155,0.933360592,-288.2470892,1,0.001150005,1795.938642,-,0,1.532,-0.342911227,0.999443498,0.000647446,1.41825509,0,1,1999.971613,1681.176155,0.840600009,0.191200017,6,0.5,0: Broadleaf,2,1684776295,398.4549032,399.9199355,23.80757097,22.50279677,407.6098387,24.44885484,600.5799355,100.9971613,0.113714387,29.05570645,30.00967419,999.9,0,0,10000.28194,0,187.2601935,1999.971613,0.980001097,0.019998603,0,2.089896774,0,4256.313548,16305.83226,48.69106452,50.57012903,49.508,48.437,47.75,1959.971613,40,0,235.4000001,0,2.05734,-1.261600003,-68.93615382,4254.6616,15,1684776286,10:24:45,1684776275,1684776286,2,0.157,-0.023,-9.166,-0.687,400,22,0.73,0.1,-1.131533867,-6.753561586,0.72820911,0,1.01624607,5.668097928,0.624519985,0,0,2,0/2,100,100,-9.152,-0.6333,-5.960638159,-0.007814304,-3.18E-07,6.48E-10,-0.755918923,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.5,0.3,2,626.452,405.974,24.9978,34.4463,30.0005,34.401,34.3914,21.2678,32.529,91.2959,25,400,22.4232,99.529,101.413
5,1684776341,344,20230522 10:25:40,10:25:40,b7.daupus.2,11.4908429,1684776333,0.001676943,1.029744164,398.307,368.0180995,37.21033638,40.27284928,0.089614328,2.946843111,0.088127436,0.055211184,321.4468709,30.56505137,30.09461613,4.283658829,59.85752941,2.423487736,4.048760047,1.860171093,-73.95320107,-155.532394,-11.68974416,80.27153164,0,0,1,0,53026.44526,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-2282-20230522-10_35_56,10238.7,2.101092308,1.6804,-0.25035248,0.5,1681.210016,1.029744164,-210.4475486,1,0.001207311,1637.246846,-,0,1.6804,-0.25035248,0.999389591,0.000518569,1.418178594,0,1,2000.012258,1681.210016,0.840599856,0.191199712,6,0.5,0: Broadleaf,2,1684776333,398.307,400.0042903,23.96880645,22.33243548,407.4606129,24.6047871,600.1386129,100.9979677,0.112103839,29.11562581,30.09461613,999.9,0,0,9999.126129,0,188.6970323,2000.012258,0.980003226,0.019996474,0,2.114209677,0,4220.21129,16306.17097,48.84654839,50.671,49.61687097,48.49593548,47.86280645,1960.021613,39.99064516,0,36.60000014,0,2.101092308,-0.644642736,-52.80136759,4219.961538,15,1684776286,10:24:45,1684776275,1684776286,2,0.157,-0.023,-9.166,-0.687,400,22,0.73,0.1,-1.70623,0.019414334,0.034538701,1,1.646354,-0.22644788,0.022976222,0,1,2,2-Jan,100,100,-9.155,-0.6366,-5.960638159,-0.007814304,-3.18E-07,6.48E-10,-0.755918923,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.1,0.9,2,627.9,405.048,25.0041,34.4845,30.0009,34.4418,34.4383,21.262,33.6793,90.1634,25,400,22.3051,99.5225,101.404
6,1684776378,381,20230522 10:26:17,10:26:17,b7.daupus.2,13.63479353,1684776370,0.001563932,1.12894605,398.199871,364.4155647,36.84555222,40.26143656,0.082798911,2.947627732,0.081528186,0.051067661,321.4482276,30.66687656,30.19483226,4.30836163,59.8511825,2.433486985,4.065896249,1.874874645,-68.96941484,-159.8875114,-12.02419835,80.56710298,0,0,1,0,53036.27103,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-2283-20230522-10_36_33,10237.7,2.096124,1.8224,-0.150199737,0.5,1681.217071,1.12894605,-126.2591806,1,0.001266312,1509.595917,-,0,1.8224,-0.150199737,0.99933801,0.000337467,1.418105397,0,1,2000.020645,1681.217071,0.840599858,0.191199717,6,0.5,0: Broadleaf,2,1684776370,398.199871,399.951129,24.06804839,22.54214516,407.3527097,24.7006129,600.1526774,100.9967097,0.111903097,29.18869677,30.19483226,999.9,0,0,10003.71,0,180.2665161,2000.020645,0.980004484,0.0199952,0,2.102519355,0,4191.739032,16306.25806,48.97154839,50.77,49.72764516,48.558,47.97358065,1960.029677,39.99096774,0,36,0,2.096124,-0.276669225,-19.17384617,4191.5324,15,1684776286,10:24:45,1684776275,1684776286,2,0.157,-0.023,-9.166,-0.687,400,22,0.73,0.1,-1.746467,-0.048366979,0.036063995,1,1.548195,-0.445310094,0.048023958,0,1,2,2-Jan,100,100,-9.153,-0.6294,-5.960638159,-0.007814304,-3.18E-07,6.48E-10,-0.755918923,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.7,1.5,2,627.834,403.972,24.9997,34.5383,30.0007,34.4916,34.4894,21.2699,32.2003,89.039,25,400,22.6505,99.5116,101.392
7,1684776733,736,20230522 10:32:12,10:32:12,g7.daupus.2,31.5360033,1684776725,0.001477855,2.572976425,396.9162258,335.0488666,33.87566301,40.13086343,0.081588539,2.948378837,0.080354705,0.050330991,321.444313,30.52896232,29.85589677,4.225312234,60.24536756,2.426968526,4.028473266,1.798343708,-65.17339955,-131.4741282,-9.860450938,114.9363344,0,0,1,0,53086.08807,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-2284-20230522-10_42_28,10187.8,2.165215385,1.4904,-0.452774681,0.5,1681.19672,2.572976425,-380.6016543,1,0.002125258,1846.09474,-,0,1.4904,-0.452774681,0.999458609,0.000831621,1.418276534,0,1,1999.996452,1681.19672,0.840599851,0.191199703,6,0.5,0: Broadleaf,2,1684776725,396.9162258,400.0749677,24.00404839,22.56204194,406.0297097,24.63482258,600.1555806,100.9972903,0.109343323,29.02877097,29.85589677,999.9,0,0,10007.92258,0,322.3119677,1999.996452,0.980004226,0.019995794,0,2.1404,0,2245.930968,16306.05484,49.437,51.33232258,50.165,49.282,48.379,1960.005484,39.99,0,354,0,2.165215385,-0.050290614,-125.3729915,2245.13,15,1684776705,10:31:45,1684776705,1684776701,3,0.029,0.004,-9.137,-0.684,400,22,0.33,0.11,-3.13396525,-0.136392833,0.063231499,0,1.3860665,1.078206979,0.108990879,0,0,2,0/2,100,100,-9.113,-0.6323,-5.931569139,-0.007814304,-3.18E-07,6.48E-10,-0.751775923,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.5,0.5,2,627.917,396.3,25.002,34.284,30.0012,34.3285,34.3439,21.2638,36.0785,78.4292,25,400,22.4109,99.5772,101.454
8,1684776770,773.5,20230522 10:32:50,10:32:50,g7.daupus.2,35.77461411,1684776762,0.001396881,2.72211124,396.7027419,327.9875593,33.16279185,40.11057763,0.076090583,2.948095671,0.075016151,0.046980364,321.4466376,30.5891361,29.93496129,4.244559597,60.032348,2.423871614,4.037609213,1.820687983,-61.60245142,-137.8036295,-10.34221475,111.6983419,0,0,1,0,53071.08414,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-2285-20230522-10_43_05,10186.9,2.105942308,1.4412,-0.461242234,0.5,1681.203561,2.72211124,-387.7210432,1,0.002213956,1909.151263,-,0,1.4412,-0.461242234,0.999476481,0.000819158,1.418301895,0,1,2000.003871,1681.203561,0.840600154,0.191200307,6,0.5,0: Broadleaf,2,1684776762,396.7027419,399.9781613,23.97264194,22.60959677,405.8144839,24.60449032,600.1535806,101.0003871,0.109520613,29.06793226,29.93496129,999.9,0,0,10006.00581,0,322.2230968,2000.003871,0.979993484,0.020006516,0,2.094116129,0,2184.64871,16306.05806,49.637,51.534,50.31003226,49.57229032,48.57216129,1959.993548,40.01032258,0,36.5999999,0,2.105942308,-0.133712824,-56.16376071,2184.094231,15,1684776705,10:31:45,1684776705,1684776701,3,0.029,0.004,-9.137,-0.684,400,22,0.33,0.11,-3.26302,-0.577217786,0.076341357,0,1.38605025,-0.361375722,0.048430685,0,0,2,0/2,100,100,-9.112,-0.6291,-5.931569139,-0.007814304,-3.18E-07,6.48E-10,-0.751775923,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.1,1.1,2,628.176,395.498,25.0056,34.3771,30.0016,34.3889,34.4041,21.2643,35.7891,76.5109,25,400,22.5825,99.5513,101.436
