Sys,Sys,Sys,Sys,Sys,UserDefCon,UserDefVar,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,Leak,Leak,Leak,Leak,Leak,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,MPF,MPF,MPF,MPF,MPF,MPF,MPF,MPF,LeafQ,LeafQ,LeafQ,LeafQ,Const,Const,Const,Const,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrStats,FlrStats,FlrStats,FlrStats,FlrStats,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
obs,time,elapsed,date,hhmmss,plant id,WUE,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,,,s,mol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,Pa,Pa,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,W m⁻²,°C,°C,kPa,%,kPa,kPa,kPa,W m⁻²,W m⁻²,W m⁻²,W m⁻²,µmol s⁻¹,%,,%,µmol s⁻¹,,,,,,,µmol m⁻² s⁻¹,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,µmol µmol⁻¹,,,,,,,,,,,,ms,ms,ms,µmol m⁻² s⁻¹,,mol m⁻² s⁻²,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,J/µmol,cm²,,,mol m⁻² s⁻¹,s,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol s⁻¹,kPa,kPa,°C,°C,°C,°C,°C,rpm,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,,,,µmol m⁻² s⁻¹,,,°C,°C,°C,°C,°C,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,s,,,min⁻¹,min⁻¹,,s,secs,,s,s,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,µmol mol⁻¹,µmol mol⁻¹ min⁻¹,µmol mol⁻¹,,, min⁻¹,,,mmol mol⁻¹,mmol mol⁻¹ min⁻¹,mmol mol⁻¹,,,,,%,%,µmol/mol,mmol/mol,mmol/mol,,,,mmol/mol,,,,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,min,min,,µmol s⁻¹,µmol s⁻¹,°C,°C,°C,°C,°C,%,%,%,°C,µmol mol⁻¹,mmol mol⁻¹,%,%
1,1679512144,0,20230322 12:09:03,12:09:03,a2.broare.2,109.2684345,1679512136,0.00031376,3.135775999,396.7040333,215.6925019,22.20890426,40.84686216,0.028697913,2.978060683,0.028545159,0.017854381,321.4417275,22.706876,21.72728667,2.609693628,60.44006106,1.500514699,2.482649211,1.109178929,-13.83682349,-130.7042256,-8.943932755,167.9567457,0,0,1,0,55480.6922,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-143-20230322-12_18_23,10293.4,375.1096923,427.026,0.121576456,0.5,1681.20959,3.135775999,102.1977519,1,0.00246,5.446703479,-,0,427.026,0.121576456,0.844881961,-0.134529573,1.198925346,0,1,143,300,300,300,10293.4,410.18,-0.00685739,0.47,2000.015333,1681.20959,0.840598351,0.191196701,6,0.5,0: Broadleaf,2,1679512136,396.7040333,399.9636,14.57297333,14.26385,405.6997,14.94313,600.1250333,102.8648,0.100783233,20.9132,21.72728667,999.9,0,0,9992.914,0,291.8678,2000.015333,0.9800064,0.01999392,0,375.7801333,4.9992,7775.482333,16265.46333,37.5248,37.86646667,37.78306667,37.30793333,38.3498,1955.125333,39.89033333,0,521,0,375.1096923,-83.15753851,-1551.711112,7762.806538,15,1679512119,12:08:38,1679512117,1679512119,3,0.166,0.002,-9.021,-0.374,400,14,0.45,0.21,-3.25315425,0.266384353,0.132906014,1,379.5395882,-87.72667234,8.606988023,0,0.2977763,0.265631527,0.028171152,0,1,3,3-Jan,100,100,-8.997,-0.3703,-5.816157159,-0.007814304,-3.18E-07,6.48E-10,-0.259937581,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.4,0.4,2,604.31,442.422,20.0001,20.3925,30.0003,20.5264,20.5546,21.3235,32.2439,61.9491,20,400,14.1463,102.693,104.307
2,1679512189,45,20230322 12:09:48,12:09:48,a2.broare.2,105.9315191,1679512181,0.000290455,2.782872612,397.0932,221.3984579,22.79636012,40.88682312,0.026270487,2.978983156,0.026142459,0.016350488,321.438683,22.6871822,21.72619,2.609518727,60.04049586,1.488288687,2.47880812,1.12123004,-12.80908161,-134.6120308,-9.207254856,164.8103158,0,0,1,0,55513.21206,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-144-20230322-12_19_08,10291.6,330.0072,379.131,0.129569463,0.5,1681.18834,2.782872612,108.9153351,1,0.002250118,6.261105001,-,0,379.131,0.129569463,0.862279915,-0.113239359,1.223613822,0,1,144,300,300,300,10291.6,365.63,-0.00685592,0.38,1999.989333,1681.18834,0.840598653,0.191197307,6,0.5,0: Broadleaf,2,1679512181,397.0932,399.9908667,14.45427333,14.16807,406.0918333,14.82582667,600.1126,102.8651,0.100206687,20.88802333,21.72619,999.9,0,0,9998.097,0,286.2256667,1999.989333,0.9799935,0.020006817,0,330.3918667,4.9992,6878.496333,16265.16333,37.81626667,38.14566667,38.0124,37.38326667,38.6374,1955.079333,39.91,0,43.9000001,0,330.0072,-36.92923071,-693.3684606,6871.2064,15,1679512119,12:08:38,1679512117,1679512119,3,0.166,0.002,-9.021,-0.374,400,14,0.45,0.21,-2.9298795,0.464293959,0.072185922,1,332.3297059,-40.67754015,4.018033998,0,0.293839,-0.095496856,0.014582595,1,2,3,3-Feb,100,100,-8.999,-0.3716,-5.816157159,-0.007814304,-3.18E-07,6.48E-10,-0.259937581,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.2,1.2,2,605.246,442.82,19.9984,20.4044,30.0005,20.5152,20.5446,21.3258,31.9661,60.8183,20,400,14.2225,102.683,104.295
3,1679512229,85.5,20230322 12:10:29,12:10:29,a2.broare.2,94.27211541,1679512221,0.000288744,2.464097882,397.4162258,240.2919805,24.74283915,40.92190563,0.026138141,2.977752785,0.026011345,0.016268431,321.444246,22.68709348,21.73368065,2.610713567,60.1319538,1.490440351,2.478616205,1.120273216,-12.7335957,-135.9610428,-9.303663529,163.445944,0,0,1,0,55476.45602,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-145-20230322-12_19_48,10290,308.4716923,355.92,0.133311721,0.5,1681.217623,2.464097882,112.0630072,1,0.00206047,6.734631378,-,0,355.92,0.133311721,0.870711356,-0.103821984,1.235578415,0,1,145,300,300,300,10290,342.11,-0.00685462,0.31,2000.024194,1681.217623,0.840598643,0.191197286,6,0.5,0: Broadleaf,2,1679512221,397.4162258,399.9945806,14.47452581,14.19001613,406.4171935,14.84583226,600.1150645,102.8665161,0.103375323,20.88676452,21.73368065,999.9,0,0,9991.008065,0,263.2672258,2000.024194,0.979996516,0.020003784,0,308.7249032,4.9992,6456.199032,16265.46774,38.08232258,38.32825806,38.24796774,37.78809677,38.86483871,1955.114839,39.91,0,39.79999995,0,308.4716923,-27.60082048,-481.9928197,6451.282692,15,1679512119,12:08:38,1679512117,1679512119,3,0.166,0.002,-9.021,-0.374,400,14,0.45,0.21,-2.6027715,0.337106567,0.066729183,1,310.0182059,-26.80420118,2.64871508,0,0.284839625,-0.016210953,0.002601078,1,2,3,3-Feb,100,100,-9.001,-0.3716,-5.816157159,-0.007814304,-3.18E-07,6.48E-10,-0.259937581,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.9,1.8,2,605.413,442.542,19.9988,20.4395,30.0005,20.5236,20.5515,21.3362,31.6944,60.069,20,400,14.2213,102.674,104.283
4,1679512672,528.5,20230322 12:17:52,12:17:52,a4.broare.2,109.6460602,1679512664,0.000222154,2.093358562,397.8010968,216.1006219,22.2490823,40.95642698,0.019091963,2.979222815,0.019024252,0.011896221,321.4412606,23.31001364,22.4355871,2.724822754,60.14964724,1.547493931,2.572739828,1.177328823,-9.797007355,-151.2120608,-10.41133948,150.020853,0,0,1,0,55406.01465,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-146-20230322-12_27_11,10289.6,255.1995769,280.891,0.091464031,0.5,1681.201907,2.093358562,76.8847515,1,0.001839969,8.80063441,-,0,280.891,0.091464031,0.897965789,-0.048288064,1.274253676,0,1,146,300,300,300,10289.6,273.8,-0.00685354,-0.14,2000.005484,1681.201907,0.840598649,0.191197297,6,0.5,0: Broadleaf,2,1679512664,397.8010968,399.9822903,15.03048065,14.81171935,406.7781613,15.38502258,600.1480645,102.8586774,0.098371487,21.49413548,22.4355871,999.9,0,0,10000.07581,0,125.4677742,2000.005484,0.979996613,0.020003687,0,255.8268065,4.9992,5348.812258,16265.33871,39.562,40.25,40.058,39.18529032,40.375,1955.095484,39.91,0,442.4000001,0,255.1995769,-49.86895729,-1016.188035,5335.836923,15,1679512645,12:17:24,1679512645,1679512644,4,0.027,0.01,-8.994,-0.358,400,15,0.38,0.27,-2.212117,0.925232195,0.103013981,0,258.0771515,-52.56685794,5.012774929,0,0.218879075,-0.008931614,0.002376706,1,1,3,3-Jan,100,100,-8.978,-0.3547,-5.789230896,-0.007814304,-3.18E-07,6.48E-10,-0.249860281,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.5,0.5,2,602.094,449.982,19.9972,20.0569,29.9998,20.1244,20.1404,21.3975,26.0046,53.6933,20,400,14.843,102.763,104.363
5,1679512725,581,20230322 12:18:44,12:18:44,a4.broare.2,107.9713355,1679512721,0.000178803,1.683176662,398.2776667,219.4112125,22.59097392,41.00738644,0.015589107,2.975862245,0.01554388,0.009718977,321.4513208,23.17261399,22.29547333,2.701702014,60.48125065,1.541726006,2.54909743,1.159976008,-7.885219956,-152.7413074,-10.51294555,150.3118479,0,0,1,0,55333.5123,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-147-20230322-12_28_04,10288.9,226.8937308,249.745,0.091498405,0.5,1681.25698,1.683176662,76.9161663,1,0.001595935,10.02288334,-,0,249.745,0.091498405,0.909279635,-0.040574635,1.29030853,0,1,147,300,300,300,10288.9,244.98,-0.00685282,-0.27,2000.071333,1681.25698,0.840598509,0.191197018,6,0.5,0: Broadleaf,2,1679512721,398.2776667,400.0316667,14.97376667,14.79768,407.2582667,15.32905333,600.1334,102.8622667,0.0995358,21.34342667,22.29547333,999.9,0,0,9980.746,0,132.5754667,2000.071333,0.9799984,0.020001853,0,225.7674667,4.9992,4773.158,16265.88667,39.6746,40.25,40.1374,39.18286667,40.4246,1955.169333,39.902,0,51.60000014,0,226.8937308,-18.81035898,-343.8280342,4793.406538,15,1679512645,12:17:24,1679512645,1679512644,4,0.027,0.01,-8.994,-0.358,400,15,0.38,0.27,-1.73763725,0.173492195,0.076510806,1,227.7854242,-19.50603384,1.866399873,0,0.168810225,0.06795,0.006854482,1,2,3,3-Feb,100,100,-8.981,-0.3554,-5.789230896,-0.007814304,-3.18E-07,6.48E-10,-0.249860281,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.3,1.4,2,603.034,451.11,19.9986,19.9854,29.9995,20.0486,20.0624,21.4021,25.7208,53.3208,20,400,14.7605,102.782,104.38
6,1679512772,628,20230322 12:19:31,12:19:31,a4.broare.2,91.51104562,1679512764,0.000189154,1.532020918,398.3942258,245.747466,25.3021467,41.01864939,0.016741377,2.979988676,0.016689301,0.010435479,321.4371032,22.95147351,22.07813226,2.666177368,60.54393695,1.52298291,2.51550029,1.143194459,-8.341704022,-152.7833945,-10.47812971,149.833875,0,0,1,0,55498.21955,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-148-20230322-12_28_51,10288.9,216.43,240.054,0.098411191,0.5,1681.180209,1.532020918,82.72347316,1,0.001506097,10.46787806,-,0,240.054,0.098411191,0.91279991,-0.041237113,1.295303958,0,1,148,300,300,300,10288.9,234.67,-0.00685306,-0.01,1999.979677,1681.180209,0.840598646,0.191197292,6,0.5,0: Broadleaf,2,1679512764,398.3942258,400.0012581,14.79199355,14.60567742,407.3757419,15.14954194,600.1294194,102.8604194,0.099530203,21.12714194,22.07813226,999.9,0,0,10004.23581,0,123.4483226,1999.979677,0.979996032,0.020004268,0,216.5202903,4.9992,4588.880968,16265.10323,39.514,40.11474194,40.125,38.60870968,40.284,1955.072581,39.90935484,0,46.39999986,0,216.43,-8.373743594,-149.3863247,4586.945,15,1679512645,12:17:24,1679512645,1679512644,4,0.027,0.01,-8.994,-0.358,400,15,0.38,0.27,-1.6048065,-0.027662814,0.047807102,1,216.8470588,-8.680761237,0.865188111,0,0.193430375,-0.152789122,0.01560755,0,1,3,3-Jan,100,100,-8.982,-0.358,-5.789230896,-0.007814304,-3.18E-07,6.48E-10,-0.249860281,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,2.1,2.1,2,602.725,451.809,19.9969,19.8984,29.9995,19.9687,19.9817,21.4009,26.0168,52.9497,20,400,14.5836,102.798,104.395
7,1679514228,2083.9,20230322 12:43:47,12:43:47,f2.broare.2,94.62767912,1679514220,0.000562786,4.514711074,395.2377667,236.6709444,24.35523025,40.67295558,0.047710259,2.975998059,0.047289375,0.029593364,321.4399833,24.47203962,23.33770333,2.877874195,60.52495357,1.680305227,2.776218944,1.197568969,-24.81885876,-95.35710267,-6.644856133,194.6191657,0,0,1,0,55074.40869,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-149-20230322-12_53_07,10321.4,289.6002308,343.085,0.155893639,0.5,1681.19784,4.514711074,131.0440248,1,0.003280227,7.023988224,-,0,343.085,0.155893639,0.875373695,-0.113833469,1.242194483,0,1,149,300,300,300,10321.4,326.76,-0.00687433,1.26,2000.001,1681.19784,0.8405985,0.191197,6,0.5,0: Broadleaf,2,1679514220,395.2377667,399.974,16.32829667,15.77480667,404.1709667,16.66808333,600.1155333,102.8053333,0.1022302,22.74336333,23.33770333,999.9,0,0,9987.040333,0,344.7532333,2000.001,0.9800011,0.019999063,0,290.0289667,4.9992,6157.817333,16265.31333,40.812,42.1124,41.375,40.75,41.625,1955.101,39.9,0,1455.4,0,289.6002308,-53.06728209,-1096.445129,6148.949231,15,1679514203,12:43:22,1679514203,1679514198,5,0.023,-0.004,-8.97,-0.351,400,16,0.49,0.25,-4.69811125,-0.394190882,0.212782463,1,292.6794242,-55.86045382,5.326332834,0,0.528022,0.476736225,0.048768758,0,1,3,3-Jan,100,100,-8.934,-0.3399,-5.765720435,-0.007814304,-3.18E-07,6.48E-10,-0.253982774,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.4,0.5,2,606.015,446.907,20.0011,21.7842,30.0005,21.6227,21.6104,21.3215,20.969,68.6386,20,400,15.6334,102.501,104.095
8,1679514267,2122.9,20230322 12:44:26,12:44:26,f2.broare.2,91.77381767,1679514259,0.000520859,3.962394152,395.7861667,241.740997,24.87702711,40.72947213,0.043175649,2.978726113,0.04283097,0.026800095,321.4396031,24.5090682,23.40528333,2.889636597,59.90488648,1.665894319,2.780898884,1.223742277,-22.96989251,-101.8364959,-7.093293516,189.5399211,0,0,1,0,55150.7732,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-150-20230322-12_53_46,10321,263.1931538,315.829,0.166659319,0.5,1681.195876,3.962394152,140.0934802,1,0.002951705,7.716457323,-,0,315.829,0.166659319,0.885274491,-0.105884339,1.256244156,0,1,150,300,300,300,10321,298.42,-0.00687415,0.72,1999.998667,1681.195876,0.840598499,0.191196997,6,0.5,0: Broadleaf,2,1679514259,395.7861667,399.9537,16.18822667,15.67592333,404.7236333,16.53022333,600.1453667,102.8053,0.1024708,22.77114,23.40528333,999.9,0,0,10002.45933,0,341.0605,1999.998667,0.9800021,0.01999803,0,263.3611667,4.9992,5615.475,16265.29667,40.875,42,41.312,40.8288,41.6746,1955.105667,39.9,0,38.20000005,0,263.1931538,-27.06782903,-548.3210249,5611.759615,15,1679514203,12:43:22,1679514203,1679514198,5,0.023,-0.004,-8.97,-0.351,400,16,0.49,0.25,-4.22696675,1.223706979,0.124611147,0,264.9027353,-28.46051564,2.806197084,0,0.530512175,-0.412947523,0.041085678,0,0,3,0/3,100,100,-8.938,-0.3419,-5.765720435,-0.007814304,-3.18E-07,6.48E-10,-0.253982774,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.1,1.1,2,607.043,447.192,20.0001,21.8367,30.0005,21.6627,21.6534,21.3308,20.3888,68.6386,20,400,15.7539,102.494,104.084
