Plant_ID,Species,Recorder,Bud_Date,Flower_Date,Notes
A1.ACMPAR.1,ACMPAR,CAM,NA,4/21/23,
A1.AIRCAR.1,AIRCAR,JBL,NA,5/4/23,
A1.BRODIA.1,BRODIA,JBL,5/8/23,5/22/23,
A1.BROHOR.1,BROHOR,HR,NA,4/29/23,
A1.CLAPUR.1,CLAPUR,,,,
A1.DANCAL.1,DANCAL,,,,
A1.DAUPUS.1,DAUPUS,AS,5/7/23,5/27/23,
A1.ESCCAL.1,ESCCAL,,,,
A1.GALPAR.1,GALPAR,AS,,5/18/23,
A1.HYPGLA.1,HYPGLA,HR,NA,5/10/23,
A1.MADGRA.1,MADGRA,AS,,9/1/23,
A1.SANBIP.1,SANBIP,,,,
A2.AMSMEN.1,AMSMEN,JBL,3/20/23,4/3/23,
A2.AVEBAR.1,AVEBAR,JBL,NA,5/5/23,
A2.BROARE.1,BROARE,JBL,NA,3/13/23,
A2.BRODIA.1,BRODIA,,,,
A2.BROMAD.1,BROMAD,AS,4/1/23,4/13/23,
A2.CAUCOU.1,CAUCOU,JBL,4/3/23,4/13/23,
A2.EROCIC.1,EROCIC,JBL,NA,3/6/23,
A2.ESCCAL.1,ESCCAL,,,,
A2.LUPMIC.1,LUPMIC,,,,
A2.LUPSUC.1,LUPSUC,,,,
A2.MIRMUL.1,MIRMUL,,,,
A2.PHATAN.1,PHATAN,,,,
A3.AVEBAR.1,AVEBAR,JBL,NA,4/13/23,
A3.BRODIA.1,BRODIA,CAM,4/13/23,5/8/23,
A3.BROHOR.1,BROHOR,MH,NA,5/16/23,
A3.CLAPUR.1,CLAPUR,,,,
A3.DAUPUS.1,DAUPUS,AS,4/13/23,5/27/23,
A3.EROBOT.1,EROBOT,AS,3/20/23,3/24/23,
A3.GERDIS.1,GERDIS,AS,,5/18/23,
A3.LUPBIC.1,LUPBIC,AS,,4/21/23,
A3.MADGRA.1,MADGRA,JBL,5/19/23,6/21/23,
A3.TORARV.1,TORARV,CAM,NA,5/18/23,
A3.TRIHIR.1,TRIHIR,,,,
A3.VICSAT.1,VICSAT,HR,NA,4/13/23,
A4.AMSMEN.1,AMSMEN,JBL,3/24/23,4/1/23,
A4.AVEBAR.1,AVEBAR,JBL,4/13/23,4/21/23,
A4.BROARE.1,BROARE,JBL,NA,6/11/23,
A4.BRODIA.1,BRODIA,JBL,4/13/23,4/21/23,
A4.BROMAD.1,BROMAD,AS,3/24/23,3/30/23,
A4.CAUCOU.1,CAUCOU,JBL,NA,3/20/23,
A4.EROCIC.1,EROCIC,JBL,4/1/23,4/8/23,
A4.ESCCAL.1,ESCCAL,JBL,3/24/23,3/30/23,
A4.LUPMIC.1,LUPMIC,,,,
A4.LUPSUC.1,LUPSUC,,,,
A4.MIRMUL.1,MIRMUL,,,,
A4.PHATAN.1,PHATAN,CAM,3/20/23,4/13/23,
A5.AVEBAR.1,AVEBAR,JBL,NA,4/21/23,
A5.BRODIA.1,BRODIA,JBL,4/21/23,5/8/23,
A5.BROHOR.1,BROHOR,MH,NA,5/16/23,
A5.BROMAD.1,BROMAD,5/17/23,4/13/23,4/21/23,
A5.CLAPUR.1,CLAPUR,,,,
A5.ELYCAP.1,ELYCAP,CAM,NA,5/10/23,
A5.EROBOT.1,EROBOT,,,,
A5.HOLVIR.1,HOLVIR,,,,
A5.LUPBIC.1,LUPBIC,,,,
A5.MICCAL.1,MICCAL,HR,NA,NA,No flowering date recorded
A5.PLAERE.1,PLAERE,CAM,3/20/23,4/13/23,
A5.TRIHIR.1,TRIHIR,JBL,NA,6/2/23,
A6.AVEFAT.1,AVEFAT,NA,NA,NA,
A6.BRODIA.1,BRODIA,JBL,4/1/23,4/3/23,
A6.BROHOR.1,BROHOR,MH,NA,5/16/23,
A6.BROMAD.1,BROMAD,,,,
A6.CALMEN.1,CALMEN,,,,
A6.CENMEL.1,CENMEL,CAM,NA,5/24/23,
A6.CORFIL.1,CORFIL,,,,
A6.EROCIC.1,EROCIC,JBL,NA,3/20/23,another bag with 5/10 found earlier 
A6.ESCCAL.1,ESCCAL,,,,
A6.MICCAL.1,MICCAL,HR,4/13/23,4/21/23,
A6.STIPUL.1,STIPUL,,,,
A7.AVEFAT.1,AVEFAT,JBL,NA,4/13/23,
A7.BRODIA.1,BRODIA,CAM,NA,4/1/23,
A7.BROHOR.1,BROHOR,MH,4/13/23,4/21/23,
A7.BROMAD.1,BROMAD,AS,4/1/23,4/13/23,
A7.CALMEN.1,CALMEN,,,,
A7.CENMEL.1,CENMEL,JBL,NA,5/24/23,
A7.CORFIL.1,CORFIL,,,,
A7.ESCCAL.1,ESCCAL,,,,
A7.MICCAL.1,MICCAL,HR,NA,4/21/23,
A7.STIPUL.1,STIPUL,,,,
A8.AVEBAR.1,AVEBAR,JBL,4/13/23,5/5/23,
A8.BRODIA.1,BRODIA,CAM,NA,5/8/23,
A8.BROHOR.1,BROHOR,MH,NA,5/16/23,
A8.BROMAD.1,BROMAD,AS,4/13/23,5/17/23,
A8.CLAPUR.1,CLAPUR,,,,
A8.ELYCAP.1,ELYCAP,CAM,5/10/23,5/26/23,
A8.EROBOT.1,EROBOT,JBL,NA,5/26/23,
A8.HOLVIR.1,HOLVIR,,,,
A8.LUPBIC.1,LUPBIC,AS,4/5/23,4/13/23,
A8.MICCAL.1,MICCAL,HR,NA,4/21/23,
A8.PLAERE.1,PLAERE,CAM,3/30/23,4/13/23,
A8.TRIHIR.1,TRIHIR,JBL,4/21/23,5/19/23,
B1.AVEBAR.1,AVEBAR,JBL,NA,4/24/23,
B1.BRODIA.1,BRODIA,HR,NA,5/8/23,
B1.BROHOR.1,BROHOR,MH,4/24/23,5/16/23,
B1.CLAPUR.1,CLAPUR,,,,
B1.DAUPUS.1,DAUPUS,AS,,5/7/23,
B1.EROBOT.1,EROBOT,,,,
B1.GERDIS.1,GERDIS,AS,4/8/23,4/12/23,
B1.LUPBIC.1,LUPBIC,AS,,4/24/23,
B1.MADGRA.1,MADGRA,AS,4/24/23,5/27/23,21 broken fls on 6/21/23
B1.TORARV.1,TORARV,CAM,,5/18/23,
B1.TRIHIR.1,TRIHIR,,,,
B1.VICSAT.1,VICSAT,HR,NA,4/24/23,
B2.AVEBAR.1,AVEBAR,JBL,NA,4/26/23,
B2.BRODIA.1,BRODIA,JBL,NA,4/24/23,
B2.BROHOR.1,BROHOR,MH,NA,5/16/23,
B2.BROMAD.1,BROMAD,AS,4/12/23,4/24/23,
B2.CLAPUR.1,CLAPUR,,,,
B2.ELYCAP.1,ELYCAP,JBL,5/10/23,5/26/23,
B2.EROBOT.1,EROBOT,,,,
B2.HOLVIR.1,HOLVIR,,,,
B2.LUPBIC.1,LUPBIC,AS,4/5/23,4/12/23,
B2.MICCAL.1,MICCAL,HR,NA,4/26/23,
